Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 8 workers.
2024-01-05_12:26:30:483 pEMG_processing started
2024-01-05_12:26:30:568 pEMG_save started
2024-01-05_12:26:34:052 pEMG_worker started
2024-01-05_12:26:34:237 pEEG_save started
2024-01-05_12:26:36:292 pEEG_processing started
2024-01-05_12:26:38:569 pEEG_worker started
2024-01-05_12:26:38:570 All processes started
2024-01-05_12:26:34:060 EMG Worker checking for start
2024-01-05_12:26:38:577 EMG Worker start command receieved
2024-01-05_12:26:38:577 EEG Save, receieved start command
2024-01-05_12:26:39:881 EMG Worker, scans read: 200
2024-01-05_12:26:39:883 EMG Worker, scans read: 200
2024-01-05_12:26:39:885 EMG Worker, scans read: 200
2024-01-05_12:26:39:887 EMG Worker, scans read: 200
2024-01-05_12:26:39:889 EMG Worker, scans read: 200
2024-01-05_12:26:39:890 EMG Worker, scans read: 200
2024-01-05_12:26:39:892 EMG Worker, scans read: 200
2024-01-05_12:26:39:893 EMG Worker, scans read: 200
2024-01-05_12:26:39:895 EMG Worker, scans read: 200
2024-01-05_12:26:39:897 EMG Worker, scans read: 200
2024-01-05_12:26:39:899 EMG Worker, scans read: 200
2024-01-05_12:26:39:901 EMG Worker, scans read: 200
2024-01-05_12:26:39:902 EMG Worker, scans read: 200
2024-01-05_12:26:39:904 EMG Worker, scans read: 200
2024-01-05_12:26:39:906 EMG Worker, scans read: 200
2024-01-05_12:26:39:907 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:909 EMG Worker, scans read: 200
2024-01-05_12:26:39:910 EMG Worker, scans read: 200
2024-01-05_12:26:39:912 EMG Worker, scans read: 200
2024-01-05_12:26:39:913 EMG Worker, scans read: 200
2024-01-05_12:26:39:915 EMG Worker, scans read: 200
2024-01-05_12:26:39:917 EMG Worker, scans read: 200
2024-01-05_12:26:39:919 EMG Worker, scans read: 200
2024-01-05_12:26:39:920 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:922 EMG Worker, scans read: 200
2024-01-05_12:26:39:923 EMG Worker, scans read: 200
2024-01-05_12:26:39:925 EMG Worker, scans read: 200
2024-01-05_12:26:39:926 EMG Worker, scans read: 200
2024-01-05_12:26:39:928 EMG Worker, scans read: 200
2024-01-05_12:26:39:929 EMG Worker, scans read: 200
2024-01-05_12:26:39:931 EMG Worker, scans read: 200
2024-01-05_12:26:39:932 EMG Worker, scans read: 200
2024-01-05_12:26:39:934 EMG Worker, scans read: 200
2024-01-05_12:26:39:935 EMG Worker, scans read: 200
2024-01-05_12:26:39:938 EMG Worker, scans read: 200
2024-01-05_12:26:39:943 EMG Worker, scans read: 200
2024-01-05_12:26:39:950 EMG Worker, scans read: 200
2024-01-05_12:26:39:952 EMG Worker, scans read: 200
2024-01-05_12:26:39:954 EMG Worker, scans read: 200
2024-01-05_12:26:39:955 EMG Worker, scans read: 200
2024-01-05_12:26:39:957 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:958 EMG Worker, scans read: 200
2024-01-05_12:26:39:960 EMG Worker, scans read: 200
2024-01-05_12:26:39:962 EMG Worker, scans read: 200
2024-01-05_12:26:39:964 EMG Worker, scans read: 200
2024-01-05_12:26:39:967 EMG Worker, scans read: 200
2024-01-05_12:26:39:969 EMG Worker, scans read: 200
2024-01-05_12:26:39:971 EMG Worker, scans read: 200
2024-01-05_12:26:39:973 EMG Worker, scans read: 200
2024-01-05_12:26:39:975 EMG Worker, scans read: 200
2024-01-05_12:26:39:977 EMG Worker, scans read: 200
2024-01-05_12:26:39:980 EMG Worker, scans read: 200
2024-01-05_12:26:39:982 EMG Worker, scans read: 200
2024-01-05_12:26:39:984 EMG Worker, scans read: 200
2024-01-05_12:26:39:986 EMG Worker, scans read: 200
2024-01-05_12:26:39:988 EMG Worker, scans read: 200
2024-01-05_12:26:39:990 EMG Worker, scans read: 200
2024-01-05_12:26:39:992 EMG Worker, scans read: 200
2024-01-05_12:26:39:994 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:997 EMG Worker, scans read: 200
2024-01-05_12:26:39:999 EMG Worker, scans read: 200
2024-01-05_12:26:40:001 EMG Worker, scans read: 200
2024-01-05_12:26:40:003 EMG Worker, scans read: 200
2024-01-05_12:26:40:005 EMG Worker, scans read: 200
2024-01-05_12:26:40:008 EMG Worker, scans read: 200
2024-01-05_12:26:40:011 EMG Worker, scans read: 200
2024-01-05_12:26:40:013 EMG Worker, scans read: 200
stop
2024-01-05_12:26:40:015 EMG Worker, scans read: 200
2024-01-05_12:26:40:017 EMG Worker, scans read: 200
2024-01-05_12:26:40:019 EMG Worker, scans read: 200
2024-01-05_12:26:40:020 EMG Worker, scans read: 200
2024-01-05_12:26:40:022 EMG Worker, scans read: 200
2024-01-05_12:26:40:024 EMG Worker, scans read: 200
2024-01-05_12:26:40:026 EMG Worker, scans read: 200
2024-01-05_12:26:40:028 EMG Worker, scans read: 200
2024-01-05_12:26:40:029 EMG Worker, scans read: 200
2024-01-05_12:26:40:031 EMG Worker, scans read: 200
2024-01-05_12:26:40:033 EMG Worker, scans read: 200
2024-01-05_12:26:40:035 EMG Worker, scans read: 200
2024-01-05_12:26:40:038 EMG Worker, scans read: 200
2024-01-05_12:26:40:041 EMG Worker, scans read: 200
2024-01-05_12:26:40:044 EMG Worker, scans read: 200
2024-01-05_12:26:40:046 EMG Worker, scans read: 200
2024-01-05_12:26:40:048 EMG Worker, scans read: 200
stop
2024-01-05_12:26:40:051 EMG Worker, scans read: 200
2024-01-05_12:26:40:053 EMG Worker, scans read: 200
2024-01-05_12:26:40:055 EMG Worker, scans read: 200
2024-01-05_12:26:40:057 EMG Worker, scans read: 200
2024-01-05_12:26:40:059 EMG Worker, scans read: 200
2024-01-05_12:26:40:062 EMG Worker, scans read: 200
2024-01-05_12:26:40:064 EMG Worker, scans read: 200
2024-01-05_12:26:40:066 EMG Worker, scans read: 200
stop
2024-01-05_12:26:40:068 EMG Worker, scans read: 200
2024-01-05_12:26:40:070 EMG Worker, scans read: 200
2024-01-05_12:26:40:072 EMG Worker, scans read: 200
2024-01-05_12:26:40:074 EMG Worker, scans read: 200
2024-01-05_12:26:40:076 EMG Worker, scans read: 200
2024-01-05_12:26:40:078 EMG Worker, scans read: 200
2024-01-05_12:26:40:080 EMG Worker, scans read: 200
2024-01-05_12:26:40:082 EMG Worker, scans read: 200
Stop turning
stop
2024-01-05_12:26:40:084 EMG Worker, scans read: 200
2024-01-05_12:26:40:087 EMG Worker, scans read: 200
2024-01-05_12:26:40:089 EMG Worker, scans read: 200
2024-01-05_12:26:40:092 EMG Worker, scans read: 200
2024-01-05_12:26:40:094 EMG Worker, scans read: 200
2024-01-05_12:26:40:096 EMG Worker, scans read: 200
2024-01-05_12:26:40:099 EMG Worker, scans read: 200
2024-01-05_12:26:40:102 EMG Worker, scans read: 200
2024-01-05_12:26:40:104 EMG Worker, scans read: 200
stop
2024-01-05_12:26:40:106 EMG Worker, scans read: 200
2024-01-05_12:26:40:108 EMG Worker, scans read: 200
2024-01-05_12:26:40:111 EMG Worker, scans read: 200
2024-01-05_12:26:40:113 EMG Worker, scans read: 200
2024-01-05_12:26:40:115 EMG Worker, scans read: 200
2024-01-05_12:26:40:118 EMG Worker, scans read: 200
2024-01-05_12:26:40:121 EMG Worker, scans read: 200
2024-01-05_12:26:40:123 EMG Worker, scans read: 200
2024-01-05_12:26:40:125 EMG Worker, scans read: 200
stop
2024-01-05_12:26:40:128 EMG Worker, scans read: 200
2024-01-05_12:26:40:131 EMG Worker, scans read: 200
2024-01-05_12:26:40:133 EMG Worker, scans read: 200
2024-01-05_12:26:40:136 EMG Worker, scans read: 200
2024-01-05_12:26:40:138 EMG Worker, scans read: 200
2024-01-05_12:26:40:140 EMG Worker, scans read: 200
2024-01-05_12:26:40:142 EMG Worker, scans read: 200
2024-01-05_12:26:40:145 EMG Worker, scans read: 200
2024-01-05_12:26:40:147 EMG Worker, scans read: 200
Turn right
stop
2024-01-05_12:26:40:149 EMG Worker, scans read: 200
2024-01-05_12:26:40:151 EMG Worker, scans read: 200
2024-01-05_12:26:40:153 EMG Worker, scans read: 200
2024-01-05_12:26:40:155 EMG Worker, scans read: 200
2024-01-05_12:26:40:158 EMG Worker, scans read: 200
2024-01-05_12:26:40:160 EMG Worker, scans read: 200
2024-01-05_12:26:40:162 EMG Worker, scans read: 200
2024-01-05_12:26:40:165 EMG Worker, scans read: 200
2024-01-05_12:26:40:168 EMG Worker, scans read: 200
stop
2024-01-05_12:26:40:260 EMG Worker, scans read: 800
2024-01-05_12:26:40:262 EMG Worker, scans read: 800
2024-01-05_12:26:40:265 EMG Worker, scans read: 800
2024-01-05_12:26:40:267 EMG Worker, scans read: 800
2024-01-05_12:26:40:269 EMG Worker, scans read: 800
2024-01-05_12:26:40:271 EMG Worker, scans read: 800
2024-01-05_12:26:40:273 EMG Worker, scans read: 800
2024-01-05_12:26:40:275 EMG Worker, scans read: 800
2024-01-05_12:26:40:277 EMG Worker, scans read: 800
2024-01-05_12:26:40:279 EMG Worker, scans read: 800
2024-01-05_12:26:40:280 EMG Worker, scans read: 800
2024-01-05_12:26:40:282 EMG Worker, scans read: 800
2024-01-05_12:26:40:283 EMG Worker, scans read: 800
2024-01-05_12:26:40:285 EMG Worker, scans read: 800
2024-01-05_12:26:40:287 EMG Worker, scans read: 800
2024-01-05_12:26:40:289 EMG Worker, scans read: 800
2024-01-05_12:26:40:291 EMG Worker, scans read: 800
stop
2024-01-05_12:26:40:293 EMG Worker, scans read: 800
2024-01-05_12:26:40:295 EMG Worker, scans read: 800
2024-01-05_12:26:40:297 EMG Worker, scans read: 800
2024-01-05_12:26:40:299 EMG Worker, scans read: 800
2024-01-05_12:26:40:301 EMG Worker, scans read: 800
2024-01-05_12:26:40:304 EMG Worker, scans read: 800
2024-01-05_12:26:40:305 EMG Worker, scans read: 800
2024-01-05_12:26:40:307 EMG Worker, scans read: 800
2024-01-05_12:26:40:309 EMG Worker, scans read: 800
2024-01-05_12:26:40:310 EMG Worker, scans read: 800
2024-01-05_12:26:40:312 EMG Worker, scans read: 800
2024-01-05_12:26:40:314 EMG Worker, scans read: 800
2024-01-05_12:26:40:315 EMG Worker, scans read: 800
2024-01-05_12:26:40:317 EMG Worker, scans read: 800
2024-01-05_12:26:40:319 EMG Worker, scans read: 800
2024-01-05_12:26:40:321 EMG Worker, scans read: 800
2024-01-05_12:26:40:323 EMG Worker, scans read: 800
2024-01-05_12:26:40:325 EMG Worker, scans read: 800
stop
2024-01-05_12:26:40:326 EMG Worker, scans read: 800
2024-01-05_12:26:40:328 EMG Worker, scans read: 800
2024-01-05_12:26:40:329 EMG Worker, scans read: 800
2024-01-05_12:26:40:331 EMG Worker, scans read: 800
2024-01-05_12:26:40:333 EMG Worker, scans read: 800
2024-01-05_12:26:40:335 EMG Worker, scans read: 800
2024-01-05_12:26:40:337 EMG Worker, scans read: 800
2024-01-05_12:26:40:339 EMG Worker, scans read: 800
2024-01-05_12:26:40:341 EMG Worker, scans read: 800
stop
2024-01-05_12:26:40:343 EMG Worker, scans read: 800
2024-01-05_12:26:40:345 EMG Worker, scans read: 800
2024-01-05_12:26:40:347 EMG Worker, scans read: 800
2024-01-05_12:26:40:348 EMG Worker, scans read: 800
2024-01-05_12:26:40:351 EMG Worker, scans read: 800
2024-01-05_12:26:40:354 EMG Worker, scans read: 800
2024-01-05_12:26:40:594 EMG Worker, scans available for reading: 550
2024-01-05_12:26:40:599 EMG Worker, scans read: 800
2024-01-05_12:26:40:603 EMG Worker, scans read: 800
stop
2024-01-05_12:26:40:607 EMG Worker, scans read: 800
2024-01-05_12:26:40:611 EMG Worker, scans read: 800
2024-01-05_12:26:40:616 EMG Worker, scans read: 800
2024-01-05_12:26:40:621 EMG Worker, scans read: 800
2024-01-05_12:26:40:624 EMG Worker, scans read: 800
2024-01-05_12:26:40:627 EMG Worker, scans read: 800
2024-01-05_12:26:40:631 EMG Worker, scans read: 800
2024-01-05_12:26:40:635 EMG Worker, scans read: 800
2024-01-05_12:26:40:638 EMG Worker, scans read: 800
2024-01-05_12:26:40:641 EMG Worker, scans read: 800
stop
2024-01-05_12:26:40:644 EMG Worker, scans read: 800
2024-01-05_12:26:40:646 EMG Worker, scans read: 800
2024-01-05_12:26:40:649 EMG Worker, scans read: 800
2024-01-05_12:26:40:650 EMG Worker, scans read: 800
2024-01-05_12:26:40:652 EMG Worker, scans read: 800
2024-01-05_12:26:40:654 EMG Worker, scans read: 800
2024-01-05_12:26:40:655 EMG Worker, scans read: 800
2024-01-05_12:26:40:657 EMG Worker, scans read: 800
Cleaning up resources...
2024-01-05_12:26:40:658 EMG Worker, scans read: 800
2024-01-05_12:26:40:660 EMG Worker, scans read: 800
2024-01-05_12:26:40:662 EMG Worker, scans read: 800
2024-01-05_12:26:40:665 EMG Worker, scans read: 800
2024-01-05_12:26:40:667 EMG Worker, scans read: 800
2024-01-05_12:26:40:670 EMG Worker, scans read: 800
2024-01-05_12:26:40:672 EMG Worker, scans read: 800
2024-01-05_12:26:40:674 EMG Worker, scans read: 800
2024-01-05_12:26:40:676 EMG Worker, scans read: 800
2024-01-05_12:26:40:679 EMG Worker, scans read: 800
2024-01-05_12:26:40:681 EMG Worker, scans read: 800
2024-01-05_12:26:40:684 EMG Worker, scans read: 800
2024-01-05_12:26:40:686 EMG Worker, scans read: 800
2024-01-05_12:26:40:689 EMG Worker, scans read: 800
2024-01-05_12:26:40:691 EMG Worker, scans read: 800
2024-01-05_12:26:40:693 EMG Worker, scans read: 800
2024-01-05_12:26:40:696 EMG Worker, scans read: 800
2024-01-05_12:26:40:698 EMG Worker, scans read: 800
2024-01-05_12:26:40:701 EMG Worker, scans read: 800
2024-01-05_12:26:40:703 EMG Worker, scans read: 800
2024-01-05_12:26:40:705 EMG Worker, scans read: 800
2024-01-05_12:26:40:708 EMG Worker, scans read: 800
2024-01-05_12:26:40:710 EMG Worker, scans read: 800
2024-01-05_12:26:40:712 EMG Worker, scans read: 800
2024-01-05_12:26:40:714 EMG Worker, scans read: 800
2024-01-05_12:26:40:717 EMG Worker, scans read: 800
2024-01-05_12:26:40:719 EMG Worker, scans read: 800
2024-01-05_12:26:40:721 EMG Worker, scans read: 800
2024-01-05_12:26:40:723 EMG Worker, scans read: 800
2024-01-05_12:26:40:726 EMG Worker, scans read: 800
2024-01-05_12:26:40:731 EMG Worker, scans read: 800
2024-01-05_12:26:40:733 EMG Worker, scans read: 800
2024-01-05_12:26:40:736 EMG Worker, scans read: 800
2024-01-05_12:26:40:739 EMG Worker, scans read: 800
2024-01-05_12:26:40:741 EMG Worker, scans read: 800
2024-01-05_12:26:40:744 EMG Worker, scans read: 800
2024-01-05_12:26:40:746 EMG Worker, scans read: 800
2024-01-05_12:26:40:749 EMG Worker, scans read: 800
2024-01-05_12:26:40:751 EMG Worker, scans read: 800
2024-01-05_12:26:40:755 EMG Worker, scans read: 800
2024-01-05_12:26:40:758 EMG Worker, scans read: 800
2024-01-05_12:26:40:762 EMG Worker, scans read: 800
2024-01-05_12:26:40:765 EMG Worker, scans read: 800
2024-01-05_12:26:40:768 EMG Worker, scans read: 800
2024-01-05_12:26:40:771 EMG Worker, scans read: 800
2024-01-05_12:26:40:774 EMG Worker, scans read: 800
2024-01-05_12:26:40:776 EMG Worker, scans read: 800
2024-01-05_12:26:40:779 EMG Worker, scans read: 800
2024-01-05_12:26:40:781 EMG Worker, scans read: 800
2024-01-05_12:26:40:784 EMG Worker, scans read: 800
2024-01-05_12:26:40:786 EMG Worker, scans read: 800
2024-01-05_12:26:40:789 EMG Worker, scans read: 800
2024-01-05_12:26:40:791 EMG Worker, scans read: 800
2024-01-05_12:26:40:793 EMG Worker, scans read: 800
2024-01-05_12:26:40:796 EMG Worker, scans read: 800
2024-01-05_12:26:40:798 EMG Worker, scans read: 800
2024-01-05_12:26:40:800 EMG Worker, scans read: 800
2024-01-05_12:26:40:803 EMG Worker, scans read: 800
2024-01-05_12:26:40:806 EMG Worker, scans read: 800
2024-01-05_12:26:40:809 EMG Worker, scans read: 800
2024-01-05_12:26:40:811 EMG Worker, scans read: 800
2024-01-05_12:26:40:814 EMG Worker, scans read: 800
2024-01-05_12:26:40:817 EMG Worker, scans read: 800
2024-01-05_12:26:40:821 EMG Worker, scans read: 800
2024-01-05_12:26:40:824 EMG Worker, scans read: 800
2024-01-05_12:26:40:826 EMG Worker, scans read: 800
2024-01-05_12:26:40:830 EMG Worker, scans read: 800
2024-01-05_12:26:40:833 EMG Worker, scans read: 800
2024-01-05_12:26:40:836 EMG Worker, scans read: 800
2024-01-05_12:26:40:839 EMG Worker, scans read: 800
2024-01-05_12:26:40:842 EMG Worker, scans read: 800
2024-01-05_12:26:40:845 EMG Worker, scans read: 800
2024-01-05_12:26:40:847 EMG Worker, scans read: 800
2024-01-05_12:26:40:850 EMG Worker, scans read: 800
2024-01-05_12:26:40:853 EMG Worker, scans read: 800
2024-01-05_12:26:40:857 EMG Worker, scans read: 800
2024-01-05_12:26:40:860 EMG Worker, scans read: 800
2024-01-05_12:26:40:863 EMG Worker, scans read: 800
2024-01-05_12:26:40:866 EMG Worker, scans read: 800
2024-01-05_12:26:40:869 EMG Worker, scans read: 800
2024-01-05_12:26:40:871 EMG Worker, scans read: 800
2024-01-05_12:26:40:874 EMG Worker, scans read: 800
2024-01-05_12:26:40:877 EMG Worker, scans read: 800
2024-01-05_12:26:40:880 EMG Worker, scans read: 800
2024-01-05_12:26:40:882 EMG Worker, scans read: 800
2024-01-05_12:26:40:885 EMG Worker, scans read: 800
2024-01-05_12:26:40:887 EMG Worker, scans read: 800
2024-01-05_12:26:40:890 EMG Worker, scans read: 800
2024-01-05_12:26:40:893 EMG Worker, scans read: 800
2024-01-05_12:26:40:896 EMG Worker, scans read: 800
2024-01-05_12:26:40:899 EMG Worker, scans read: 800
2024-01-05_12:26:40:902 EMG Worker, scans read: 800
2024-01-05_12:26:40:905 EMG Worker, scans read: 800
2024-01-05_12:26:40:907 EMG Worker, scans read: 800
2024-01-05_12:26:40:910 EMG Worker, scans read: 800
2024-01-05_12:26:40:913 EMG Worker, scans read: 800
2024-01-05_12:26:40:915 EMG Worker, scans read: 800
2024-01-05_12:26:40:918 EMG Worker, scans read: 800
2024-01-05_12:26:40:921 EMG Worker, scans read: 800
2024-01-05_12:26:40:924 EMG Worker, scans read: 800
2024-01-05_12:26:40:927 EMG Worker, scans read: 800
2024-01-05_12:26:40:929 EMG Worker, scans read: 800
2024-01-05_12:26:40:932 EMG Worker, scans read: 800
2024-01-05_12:26:40:935 EMG Worker, scans read: 800
2024-01-05_12:26:40:937 EMG Worker, scans read: 800
2024-01-05_12:26:40:940 EMG Worker, scans read: 800
2024-01-05_12:26:40:943 EMG Worker, scans read: 800
2024-01-05_12:26:40:945 EMG Worker, scans read: 800
2024-01-05_12:26:40:947 EMG Worker, scans read: 800
2024-01-05_12:26:40:949 EMG Worker, scans read: 800
2024-01-05_12:26:40:951 EMG Worker, scans read: 800
2024-01-05_12:26:40:953 EMG Worker, scans read: 800
2024-01-05_12:26:40:955 EMG Worker, scans read: 800
2024-01-05_12:26:40:958 EMG Worker, scans read: 800
2024-01-05_12:26:40:961 EMG Worker, scans read: 800
2024-01-05_12:26:40:964 EMG Worker, scans read: 800
2024-01-05_12:26:40:966 EMG Worker, scans read: 800
2024-01-05_12:26:40:968 EMG Worker, scans read: 800
2024-01-05_12:26:40:971 EMG Worker, scans read: 800
2024-01-05_12:26:40:973 EMG Worker, scans read: 800
2024-01-05_12:26:40:976 EMG Worker, scans read: 800
2024-01-05_12:26:40:979 EMG Worker, scans read: 800
2024-01-05_12:26:40:982 EMG Worker, scans read: 800
2024-01-05_12:26:40:985 EMG Worker, scans read: 800
2024-01-05_12:26:40:988 EMG Worker, scans read: 800
2024-01-05_12:26:40:991 EMG Worker, scans read: 800
2024-01-05_12:26:40:994 EMG Worker, scans read: 800
2024-01-05_12:26:40:997 EMG Worker, scans read: 800
2024-01-05_12:26:41:000 EMG Worker, scans read: 800
2024-01-05_12:26:41:003 EMG Worker, scans read: 800
2024-01-05_12:26:41:001 EMG Response Time: 538.2651 ms
2024-01-05_12:26:41:012 EMG Worker, scans read: 800
2024-01-05_12:26:41:015 EMG Worker, scans read: 800
2024-01-05_12:26:41:017 EMG Worker, scans read: 800
2024-01-05_12:26:41:019 EMG Worker, scans read: 800
2024-01-05_12:26:41:022 EMG Worker, scans read: 800
2024-01-05_12:26:41:024 EMG Worker, scans read: 800
2024-01-05_12:26:41:027 EMG Worker, scans read: 800
2024-01-05_12:26:41:029 EMG Worker, scans read: 800
2024-01-05_12:26:41:031 EMG Worker, scans read: 800
2024-01-05_12:26:41:033 EMG Worker, scans read: 800
2024-01-05_12:26:41:035 EMG Worker, scans read: 800
2024-01-05_12:26:41:037 EMG Worker, scans read: 800
2024-01-05_12:26:41:040 EMG Worker, scans read: 800
2024-01-05_12:26:41:043 EMG Worker, scans read: 800
2024-01-05_12:26:41:046 EMG Worker, scans read: 800
2024-01-05_12:26:41:049 EMG Worker, scans read: 800
2024-01-05_12:26:41:052 EMG Worker, scans read: 800
2024-01-05_12:26:41:055 EMG Worker, scans read: 800
2024-01-05_12:26:41:058 EMG Worker, scans read: 800
2024-01-05_12:26:41:061 EMG Worker, scans read: 800
2024-01-05_12:26:41:065 EMG Worker, scans read: 800
2024-01-05_12:26:41:068 EMG Worker, scans read: 800
2024-01-05_12:26:41:072 EMG Worker, scans read: 800
2024-01-05_12:26:41:074 EMG Worker, scans read: 800
2024-01-05_12:26:41:076 EMG Worker, scans read: 800
2024-01-05_12:26:41:079 EMG Worker, scans read: 800
2024-01-05_12:26:41:081 EMG Worker, scans read: 800
2024-01-05_12:26:41:084 EMG Worker, scans read: 800
2024-01-05_12:26:41:086 EMG Worker, scans read: 800
2024-01-05_12:26:41:089 EMG Worker, scans read: 800
2024-01-05_12:26:41:092 EMG Worker, scans read: 800
2024-01-05_12:26:41:094 EMG Worker, scans read: 800
2024-01-05_12:26:41:097 EMG Worker, scans read: 800
2024-01-05_12:26:41:100 EMG Worker, scans read: 800
2024-01-05_12:26:41:104 EMG Worker, scans read: 800
2024-01-05_12:26:41:107 EMG Worker, scans read: 800
2024-01-05_12:26:41:110 EMG Worker, scans read: 800
2024-01-05_12:26:41:113 EMG Worker, scans read: 800
2024-01-05_12:26:41:116 EMG Worker, scans read: 800
2024-01-05_12:26:41:119 EMG Worker, scans read: 800
2024-01-05_12:26:41:121 EMG Worker, scans read: 800
2024-01-05_12:26:41:124 EMG Worker, scans read: 800
2024-01-05_12:26:41:127 EMG Worker, scans read: 800
2024-01-05_12:26:41:129 EMG Worker, scans read: 800
2024-01-05_12:26:41:132 EMG Worker, scans read: 800
2024-01-05_12:26:41:136 EMG Worker, scans read: 800
2024-01-05_12:26:41:139 EMG Worker, scans read: 800
2024-01-05_12:26:41:142 EMG Worker, scans read: 800
2024-01-05_12:26:41:144 EMG Worker, scans read: 800
2024-01-05_12:26:41:147 EMG Worker, scans read: 800
